Team,Website
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/YEAR.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/YEAR.html
Brooklyn Nets,https://www.basketball-reference.com/teams/BRK/YEAR.html
Charlotte Hornets,https://www.basketball-reference.com/teams/CHO/YEAR.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/YEAR.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/YEAR.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/YEAR.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/YEAR.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/YEAR.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/YEAR.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/YEAR.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/YEAR.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/YEAR.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/YEAR.html
Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/YEAR.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/YEAR.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/YEAR.html
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/YEAR.html
New Orleans Pelicans,https://www.basketball-reference.com/teams/NOP/YEAR.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/YEAR.html
Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/YEAR.html
Orlando Magic,https://www.basketball-reference.com/teams/ORL/YEAR.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/YEAR.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/YEAR.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/YEAR.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/YEAR.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/YEAR.html
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/YEAR.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/YEAR.html
Washington Wizards,https://www.basketball-reference.com/teams/WAS/YEAR.html